team_id,team_name,team_code,federation_name,region_name
T-01,Algeria,DZA,Algerian Football Federation,Africa
T-02,Angola,AGO,Angolan Football Federation,Africa
T-03,Argentina,ARG,Argentine Football Association,South America
T-04,Australia,AUS,Football Australia,Oceania
T-05,Austria,AUT,Austrian Football Association,Europe
T-06,Belgium,BEL,Royal Belgian Football Association,Europe
T-07,Bolivia,BOL,Bolivian Football Federation,South America
T-08,Bosnia and Herzegovina,BIH,Football Association of Bosnia and Herzegovina,Europe
T-09,Brazil,BRA,Brazilian Football Confederation,South America
T-10,Bulgaria,BGR,Bulgarian Football Union,Europe
T-11,Cameroon,CMR,Cameroonian Football Federation,Africa
T-12,Canada,CAN,Canadian Soccer Association,North America
T-13,Chile,CHL,Football Federation of Chile,South America
T-14,China,CHN,Chinese Football Association,East Asia
T-15,Colombia,COL,Colombia Football Federation,South America
T-16,Costa Rica,CRI,Costa Rican Football Federation,Central America
T-17,Croatia,HRV,Croatian Football Federation,Europe
T-18,Cuba,CUB,Football Association of Cuba,Caribbean
T-19,Czech Republic,CZE,Football Association of the Czech Republic,Europe
T-20,Czechoslovakia,CSK,Football Association of the Czechoslovakia,Europe
T-21,Denmark,DNK,Danish Football Association,Europe
T-22,Dutch East Indies,IDN,Football Association of Indonesia,South East Asia
T-23,East Germany,DDR,Football Association of East Germany,Europe
T-24,Ecuador,ECU,Ecuadorian Football Federation,South America
T-25,Egypt,EGY,Egyptian Football Association,Africa
T-26,El Salvador,SLV,Salvadorian Football Federation,Central America
T-27,England,ENG,The Football Association,Europe
T-28,France,FRA,French Football Association,Europe
T-29,Germany,DEU,Germany Football Association,Europe
T-30,Ghana,GHA,Ghana Football Association,Africa
T-31,Greece,GRC,Hellenic Football Associaiton,Europe
T-32,Haiti,HTI,Haitian Football Federation,Caribbean
T-33,Honduras,HND,National Autonomous Federation of Football of Honduras,Central America
T-34,Hungary,HUN,Hungary Football Association,Europe
T-35,Iceland,ISL,Football Association of Iceland,Europe
T-36,Iran,IRN,Football Federation Islamic Republic of Iran,Middle East
T-37,Iraq,IRQ,Iraq Football Association,Middle East
T-38,Israel,ISR,Israel Football Association,Middle East
T-39,Italy,ITA,Italian Football Association,Europe
T-40,Ivory Coast,CIV,Ivorian Football Federation,Africa
T-41,Jamaica,JAM,Jamaica Football Federation,Caribbean
T-42,Japan,JPN,Japan Football Association,East Asia
T-43,Kuwait,KWT,Kuwait Football Association,Middle East
T-44,Mexico,MEX,Mexican Football Federation,North America
T-45,Morocco,MAR,Royal Moroccan Football Federation,Africa
T-46,Netherlands,NLD,Royal Dutch Football Association,Europe
T-47,New Zealand,NZL,New Zealand Football,Oceania
T-48,Nigeria,NGA,Nigeria Football Federation,Africa
T-49,North Korea,PRK,Democratic People's Republic of Korea Football Association,East Asia
T-50,Northern Ireland,NIR,Irish Football Association,Europe
T-51,Norway,NOR,Norwegian Football Federation,Europe
T-52,Panama,PAN,Panamanian Football Federation,Central America
T-53,Paraguay,PRY,Paraguayan Football Association,South America
T-54,Peru,PER,Peruvian Football Association,South America
T-55,Poland,POL,Polish Football Association,Europe
T-56,Portugal,PRT,Portuguese Football Federation,Europe
T-57,Republic of Ireland,IRL,Football Association of Ireland,Europe
T-58,Romania,ROU,Romanian Football Federation,Europe
T-59,Russia,RUS,Russian Football Union,"Europe, Asia"
T-60,Saudi Arabia,SAU,Saudi Arabian Football Association,Middle East
T-61,Scotland,SCO,Scottish Football Association,Europe
T-62,Senegal,SEN,Senegalese Football Federation,Africa
T-63,Serbia,SRB,Football Association of Serbia,Europe
T-64,Serbia and Montenegro,SCG,Football Association of Serbia and Montenegro,Europe
T-65,Slovakia,SVK,Slovak Football Association,Europe
T-66,Slovenia,SVN,Football Association of Slovenia,Europe
T-67,South Africa,ZAF,South African Football Associaiton,Africa
T-68,South Korea,KOR,Korea Football Association,East Asia
T-69,Soviet Union,SUN,Football Federation of the Soviet Union,"Europe, Asia"
T-70,Spain,ESP,Royal Spanish Football Federation,Europe
T-71,Sweden,SWE,Swedish Football Association,Europe
T-72,Switzerland,CHE,Swiss Football Association,Europe
T-73,Togo,TGO,Togolese Football Federation,Africa
T-74,Trinidad and Tobago,TTO,Trinidad and Tobago Football Assocaition,Caribbean
T-75,Tunisia,TUN,Tunisian Football Federation,Africa
T-76,Turkey,TUR,Turkish Football Association,"Europe, Asia"
T-77,Ukraine,UKR,Ukrainian Association of Football,Europe
T-78,United Arab Emirates,ARE,United Arab Emirates Football Association,Middle East
T-79,United States,USA,United States Soccer Federation,North America
T-80,Uruguay,URY,Uruguayan Football Association,South America
T-81,Wales,WAL,Football Association of Wales,Europe
T-82,West Germany,DEU,Germany Football Association,Europe
T-83,Yugoslavia,YUG,Football Association of Yugoslavia,Europe
T-84,Zaire,COD,Congolese Association Football Federation,Africa
